id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
347,mixed,veteran,22:47:18,168,0,finished,LAT,Zane,Blumberga,LAT,Girts,Strujevics,,,,,,
236,women,veteran,23:09:02,168,0,finished,LAT,Inga,Kapina,LAT,Dace,Veipa,,,,,,
224,women,veteran,23:32:50,167,0,finished,FIN,Marjut,Hiekkanen,FIN,Piia,Salmela,,,,,,
159,men,veteran,20:26:28,166,0,finished,FIN,Jussi,Niilahti,FIN,Mikko,Karjalainen,,,,,,
221,women,veteran,23:33:24,166,0,finished,LAT,Dace,Tranina,LAT,Sandra,Seimane,,,,,,
149,men,veteran,18:53:47,164,0,finished,FIN,Marko,Aaltonen,FIN,Jouni,Oikarinen,,,,,,
335,mixed,veteran,15:36:54,163,0,finished,FIN,Kai,Törmikoski,FIN,Pekka,Järvenpää,FIN,Tarja,Törmikoski,,,
187,men,ultraveteran,20:21:06,163,0,finished,FIN,Keijo,Lakkinen,FIN,Markku,Nurminen,,,,,,
117,men,open,17:14:30,162,0,finished,FIN,Juhani,Valtanen,FIN,Tuukka,Degerman,,,,,,
356,mixed,veteran,23:17:10,159,0,finished,EST,Tarvo,Jõeste,EST,Merle,Lilleoru,,,,,,
254,women,ultraveteran,23:39:15,156,0,finished,CZE,Zuzana,Setinkova,CZE,Vera,Hajkova,,,,,,
357,mixed,veteran,13:10:33,153,0,finished,FIN,Tuula,Nieminen,FIN,Sami,Kuusi,,,,,,
218,women,junior,23:49:56,153,0,finished,UKR,Valeriia,Startseva,UKR,Violeta,Ovcharenko,,,,,,
180,men,superveteran,23:52:32,153,0,finished,FIN,Kari,Härkönen,FIN,Tarmo,Lehtilä,,,,,,
237,women,veteran,23:45:14,152,0,finished,FIN,Suvi,Tanner,FIN,Jenni,Jalava,,,,,,
135,men,veteran,8:36:36,151,0,finished,FIN,Marko,Vapa,FIN,Mikko,Vapa,,,,,,
189,men,ultraveteran,23:16:26,151,0,finished,CZE,Zbynek,Krejcík,CZE,Marian,Lanc,,,,,,
320,mixed,open,8:39:09,149,0,finished,FIN,Risto,Kärkkäinen,FIN,Matti,Turtola,FIN,Hilla,Rudanko,,,
153,men,veteran,22:39:31,147,0,finished,FIN,Tuukka,Saarela,FIN,Juho,Tammi,FIN,Mikko,Järvinen,,,
306,mixed,open,20:56:18,144,0,finished,LAT,Gatis,Cirka,LAT,Agnese,Cirka,,,,,,
138,men,veteran,10:34:09,143,0,finished,FIN,Marko,Krapu,FIN,Juho,Salminen,,,,,,
211,women,open,23:33:03,143,0,finished,LAT,Sigita,Cimermane,LAT,Evita,Gause,,,,,,
371,mixed,superveteran,23:48:15,143,0,finished,LAT,Iveta,Linuža,LAT,Juris,Jurans,,,,,,
252,women,superveteran,23:37:16,141,0,finished,EST,Ingrid,Ranna,EST,Ellen,Lembra,EST,Ülle,Raudsepp,,,
145,men,veteran,23:05:17,139,0,finished,LAT,Aivars,Zogla,LAT,Arturs,Zogla,,,,,,
377,mixed,ultraveteran,23:21:05,136,0,finished,UKR,Mykola,Opanasenko,UKR,Valentyna,Lytvyn,UKR,Vasyl,Rublevskyi,,,
359,mixed,veteran,19:56:54,135,0,finished,FIN,Pia-Maria,Ahlfors,FIN,Matilainen,Jukka,,,,,,
352,mixed,veteran,13:29:43,133,0,finished,EST,Kalle,Tammjärv,EST,Marika,Tammjärv,EST,Liina,Krünvald,EST,Jüri,Lember
354,mixed,veteran,21:40:47,132,0,finished,LAT,Romans,Koskins,LAT,Ilva,Koskina,,,,,,
341,mixed,veteran,19:20:22,128,0,finished,EST,Tiina,Kangilaski,EST,Jaan,Metsa,,,,,,
231,women,veteran,23:36:53,128,0,finished,FIN,Terhi,Kujala,FIN,Maija-Liisa,Laukkanen,,,,,,
257,women,ultraveteran,23:49:55,124,0,finished,LAT,Mara,Bolsteina,LAT,Vilhelmine,Berzupe,,,,,,
328,mixed,junior,8:00:19,123,0,finished,LTU,Augusts,Velde,LTU,Ernesta,Peldžiute,,,,,,
234,women,veteran,23:08:00,122,0,finished,FIN,Sari,Hautala,FIN,Satu,Juurakko,,,,,,
318,mixed,open,23:44:08,122,0,finished,FIN,Olli,Huuhka,FIN,Lauri,Pihkala,FIN,Kirsi,Meinander,FIN,Suvi,Laitinen
207,women,open,23:43:29,120,0,finished,EST,Angela,Ivask,EST,Margit,Heinlaan,,,,,,
339,mixed,veteran,20:40:09,118,0,finished,FIN,Hanna,Salminen,FIN,Jussi,Peltonen,,,,,,
243,women,superveteran,23:41:54,116,0,finished,LAT,Andra,Jansone,LAT,Andra,Melbarde,,,,,,
183,men,ultraveteran,15:16:39,115,0,finished,LAT,Ilmars,Kaulakans,LAT,Aivars,Druvenieks,,,,,,
212,women,open,21:51:13,114,0,finished,FIN,Helena,Mattila,FIN,Erika,Harjumäki,,,,,,
150,men,veteran,22:51:04,111,0,finished,FIN,Juha-Pekka,Vahala,FIN,Vesa,Loikas,,,,,,
308,mixed,open,23:09:57,108,0,finished,LAT,Mikelis,Bendiks,LAT,Elina,Jokuma,LAT,Marcis,Murnieks,,,
361,mixed,superveteran,23:45:35,107,0,finished,AUT,Rudolf,Gruber,AUT,Claudia,Gruber,,,,,,
345,mixed,veteran,23:36:31,104,0,finished,FIN,Tuomo,Kuosmanen,FIN,Niina,Lindqvist,,,,,,
240,women,veteran,23:07:15,103,0,finished,FIN,Hanna,Bister,FIN,Marika,Damskägg,,,,,,
121,men,junior,19:59:56,101,0,finished,ITA,Gabriele,Barbato,ITA,Riccardo,Fava,,,,,,
115,men,open,17:59:01,100,0,finished,GER,Christoph,Lamy,SUI,Nicolas,Evans,,,,,,
319,mixed,open,22:30:07,100,0,finished,LAT,Martinš,Cablis,LAT,Baiba,Nummure,LAT,Nauris,Cablis,,,
136,men,veteran,16:17:15,99,0,finished,FIN,Arto,Palsio,FIN,Ville,Pokkinen,,,,,,
219,women,junior,9:47:57,97,0,finished,FIN,Milla,Muhonen,FIN,Eevi,Uitti,,,,,,
256,women,ultraveteran,23:32:00,97,0,finished,FIN,Tuija,Rantalainen,FIN,Arja,Rantalainen,,,,,,
229,women,veteran,23:25:22,94,0,finished,LAT,Vija,Utane,LAT,Olita,Poplavska,,,,,,
362,mixed,superveteran,22:41:42,92,0,finished,GBR,Charmian,Heaton,GBR,Steve,Wathall,,,,,,
215,women,open,23:14:01,89,0,finished,LAT,Evija,Birzniece,LAT,Evija,Dzvinko,,,,,,
204,women,open,23:15:05,89,0,finished,UKR,Tetiana,Doich,UKR,Taisiia,Krasnokutska,,,,,,
317,mixed,open,17:20:06,88,0,finished,UKR,Kseniia,Puhovkina,SVK,Eduard,Shlepetskyy,,,,,,
338,mixed,veteran,20:03:07,86,0,finished,LAT,Ints,Brunenieks,LAT,Gundega,Bruneniece,,,,,,
376,mixed,ultraveteran,23:30:04,86,0,finished,UKR,Yuriy,Shur,UKR,Tetiana,Drytova,,,,,,
310,mixed,open,22:07:50,83,0,finished,LAT,Gunta,Nalivaiko,LAT,Peteris,Nalivaiko,,,,,,
185,men,ultraveteran,21:45:30,74,0,finished,DEN,Frede,Scheye,DEN,Svend-Erik,Munck,,,,,,
106,men,open,18:41:22,71,0,finished,FIN,Mika,Viitanen,FIN,Markku,Viitanen,,,,,,
228,women,veteran,9:56:44,68,0,finished,FIN,Katja,Nokka,FIN,Katri,Prusila,,,,,,
214,women,open,11:11:21,68,0,finished,FIN,Laura,Pyykkö,FIN,Kirsimarja,Alanen,,,,,,
253,women,ultraveteran,22:51:12,58,0,finished,HUN,Orsolya,Harrach,HUN,Ágnes,Morandininé Harrach,,,,,,
379,mixed,ultraveteran,8:20:45,57,0,finished,FIN,Maija,Lainema,FIN,Ilkka,Lainema,,,,,,
226,women,veteran,9:51:39,51,0,finished,EST,Merle,Rohtla,EST,Jaana,Toomik,,,,,,
365,mixed,superveteran,7:09:44,40,0,finished,FIN,Maarit,Herranen,FIN,Mikko,Mäntykangas,,,,,,
168,men,veteran,23:45:54,201,0,finished,FIN,Tuomas,Maisala,FIN,Antti,Pasanen,,,,,,
110,men,open,23:56:32,143,0,finished,LAT,Valters,Alliks,LAT,Ilmars,Janis Bluzmanis,,,,,,
102,men,open,0:00:00,,,finished,POL,Pawel,Jankowiak,POL,-,-,,,,,,
120,men,open,0:00:00,,,finished,FIN,Mikko,Lindberg,FIN,Arttu,Laaksonen,FIN,Simo,Siltanen,,,
140,men,veteran,0:00:00,,,finished,EST,Raul,Kangur,EST,Heno,Ivanov,,,,,,
337,mixed,veteran,0:00:00,,,finished,LAT,Andris,Kosmacevs,LAT,Zane,Valtsone,,,,,,
