id,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,score,time,penalty
55,,veteran,men,UKR,VOLODYMYR,SHPETNYY,UKR,Sergey,SIRINOK,,,,285,23:32:36,0
56,,youth,mixed,ESP,MIREIA,VIA,ESP,Sergi,Oliveras,,,,283,23:48:32,0
57,,veteran,men,FIN,MIKA,TALVISILTA,FIN,JANNE,SNELLMAN,,,,282,23:47:12,0
58,,open,mixed,CZE,KATEŘINA,ZAJÍCOVÁ,CZE,VÍTĚZSLAV,ZAJÍC,,,,282,23:51:35,0
59,,youth,men,EST,KAAREL HENDRIK,ZERNANT,EST,LAURI,PÄHN,,,,282,23:59:09,0
60,,open,men,FRA,BENJAMIN,MAURICE,BEL,MICHAEL,LEJEUNE,,,,280,23:37:41,0
61,,veteran,mixed,RUS,IRINA,SAFONOVA,RUS,ALEXANDER,SAFONOV,RUS,ALEXANDER,KHALYAPIN,280,23:44:30,0
62,,veteran,men,ESP,SEBASTIÁN,ORDÓÑEZ,ESP,NICOLAS,CORGNET,,,,278,23:30:57,0
63,,superveteran,men,EST,TIIT,TALI,EST,ANTTI,ROOSE,,,,278,23:46:35,0
64,,open,women,LAT,AIVA,JAKOVELA,LAT,ALDA,BRAŽŪNE,LAT,MĀRA,LEITĀNE,275,23:44:56,0
65,,open,men,AUS,DAVID,WILLIAMS,AUS,RONNIE,TAIB,,,,275,23:47:32,0
66,,veteran,men,LAT,RENĀRS,SKVADRA,LAT,VIESTURS,ŠLOSBERGS,,,,271,22:33:34,0
67,,youth,mixed,ESP,Roger,Virgili,ESP,Pol,Canosa,ESP,Mar,Serrallonga,271,23:30:21,0
68,,open,men,CZE,JAROSLAV,NAJMAN,ESP,MARC,DEU ALMOR,,,,269,23:30:53,0
69,,open,men,UKR,MYKOLA,VIKHTIUK,UKR,GEORGE,FECHO,,,,268,23:45:53,0
70,,youth,men,UKR,Vadym,Petrovych,UKR,Andriy,Lypa,,,,268,23:59:09,0
