id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
371,EU! A KAS TE JĀDARA?,97,23:07:06,0,,superveteran,men,LAT,Andris,Kosmačevs,LAT,Normunds,Laucis,,,
372,Tagantjärele targemaks,96,11:54:08,0,,superveteran,mixed,EST,Liivi,Parik,EST,Anti,Parik,,,
373,Bolton Wanderers,96,16:33:14,0,,veteran,men,NED,Ahmed,Mohammad,GBR,Shahid,Mohammad,,,
374,Soli pa solim,94,24:11:14,12,,ultraveteran,women,LAT,Aija,Andersone,LAT,Anda,Plukše,,,
375,Tähdenlento,92,11:30:13,0,,veteran,women,FIN,Virva,Vuorenpää,FIN,Anu,Oksanen,,,
376,Fog,92,23:04:50,0,,veteran,women,LAT,Aija,Orniņa,LAT,Marita,Šalta,,,
377,Picafites Plus,92,23:16:03,0,,open,mixed,ESP,Nil,Armengol Panella,ESP,Jordi,Armengol Martinez,ESP,Clara,Panella Baro
378,OlLe RU,91,18:32:29,0,,ultraveteran,mixed,RUS,Olga,Lavrinovich,UKR,Lev,König,,,
379,MR-CSC,91,23:01:22,0,,open,mixed,ESP,Carles,Salvador Costa,EST,Mirjam,Randla,,,
380,TAKA,88,21:05:53,0,,veteran,men,LAT,Pēteris,Īvāns,LAT,Gatis,Kalniņš,,,
381,Neverending story,86,21:55:38,0,,veteran,women,LAT,Zane,Grava,LAT,Regīna,Siksna,,,
382,VN-2,85,23:28:00,0,,superveteran,mixed,RUS,Ivan,Kazantsev,RUS,Alina,Kazantseva,,,
383,Kas meklē tas atrod!,80,23:25:51,0,,open,women,LAT,Kristīna,Ēce,LAT,Zita,Grante,,,
384,Bebrenes,79,22:49:55,0,,superveteran,women,LAT,Ilze,Vabole,LAT,Inese,Purgaile,LAT,Izolde,Jumare
385,KaMap,78,10:35:53,0,,superveteran,mixed,RUS,Irina,Kapustjan,RUS,Vladimir,Martynov,,,
386,Seakisa,78,19:54:59,0,,open,men,EST,Ramon,Reimets,EST,Miiko,Vainer,,,
387,Long Live Jamaica,75,7:18:16,0,,open,men,LAT,Kārlis,Kučinskis,LAT,Mārcis,Laganovskis,,,
388,Skrudu zūpnis,74,24:21:15,22,,open,mixed,LAT,Daina,Pastare,LAT,Eduards,Kalnāre,,,
389,Elfi/Ventspils-Līgatne,73,9:23:04,0,,superveteran,mixed,LAT,Imants,Caklis,LAT,Alida,Abola,,,
390,ECLIPSE,73,9:23:10,0,,ultraveteran,men,LAT,Helmuts,Lukačovs,LAT,Vitolds,Bērziņš,,,
391,Team Ames,73,14:42:31,0,,superveteran,mixed,USA,Peter,Graube,LAT,Benita,Vitola,,,
392,Fotosintēzes Sintezētāji,73,18:50:41,0,,youth,men,LAT,Arvis,Zeibots,LAT,Kristers,Kalniņš,,,
393,Zaļās pēdas,73,18:53:21,0,,youth,men,LAT,Vits Ādams,Olte,LAT,Rimants,Stankevičs,LAT,Rihards,Vasels
394,Putnāki,73,19:02:35,0,,open,women,LAT,Kristīne,Puziņa,LAT,Marta Simona,Štile,LAT,Lilita,Saulīte
395,HM,73,22:34:29,0,,ultraveteran,men,EST,Mati,Merilo,EST,Helgo,Tiidor,,,
396,Baranovski,71,22:58:22,0,,open,men,EST,Sergei,Baranovski,EST,Ivan,Baranovski,EST,Pavel,Arhipov
397,LFK Pyatyorka,68,22:43:38,0,,youth,men,RUS,David,Frenklakh,RUS,Kirill,Kazarnovskiy,,,
398,Devil Hill Wanderers men,67,23:13:20,0,,veteran,men,FIN,Kai,Törmikoski,FIN,Riku,Kankkunen,,,
399,Jekaba Agentura,64,7:56:35,0,,ultraveteran,mixed,LAT,Uldis,Alksnis,LAT,Mudite,Alksne,,,
400,13-i vagon,63,23:37:47,0,,open,mixed,RUS,Dmitriy,Panfilov,RUS,Anastasiia,Zheleznova,,,
401,YhdenTähden,62,19:44:38,0,,open,men,FIN,Toni,Tolonen,FIN,Mika,Putula,,,
402,wAlts,62,22:22:07,0,,open,men,LAT,Artis,Mednis,LAT,Gatis,Mednis,,,
403,Gala Svit,61,23:52:56,0,,superveteran,women,UKR,Halyna,Khoruzhenko,UKR,Tetyana,Mitusova,,,
404,OZERKI,59,22:38:33,0,,open,mixed,RUS,Anna,Komina,RUS,Petr,Komin,,,
405,Charlton,57,22:31:32,0,,veteran,mixed,AUS,Peter,Charlton,AUS,Diana,Charlton,,,
406,Otsi Otti,50,8:27:34,0,,open,women,EST,Pille,Vinne,EST,Marje,Zernant,,,
407,Oskar and friends,45,7:35:56,0,,open,men,EST,Ragnar,Ilp,EST,Andres,Arro,,,
408,Niedras,41,23:23:55,0,,superveteran,mixed,LAT,Inese,Niedra,LAT,Dzintars,Niedra,,,
409,Flatvia 2017,37,7:48:13,0,,open,mixed,AUS,Geoff,Davis,AUS,Ann-Kathrin,Goller,,,
410,Pokey Mango,36,20:57:44,0,,open,men,AUS,David,Brander,AUS,William,Brander,,,
411,Večuki,28,22:28:13,0,,ultraveteran,mixed,LAT,Andris,Kalniņš,LAT,Maija,Jansone,,,
412,Rogaining.ru,298,23:43:58,0,disqualified,open,men,RUS,Alexander,Yakimov,RUS,Alexey,Skripko,,,
413,Endurancelife,232,23:49:43,0,disqualified,veteran,mixed,GBR,Phil,Scarf,GBR,Jackie,Scarf,,,
414,Salaspils Zīriņi,165,23:09:59,0,disqualified,veteran,men,LAT,Didzis,Gasiņš,LAT,Kalvis,Malderis,,,
415,Salaspils/ zīriņi 1,159,23:05:05,0,disqualified,open,women,LAT,Liāna,Maldere,LAT,Ilze,Putriņa,LAT,Daira,Marčenkova
416,Russian - Finnish reunion,157,13:54:31,0,disqualified,veteran,men,RUS,Dmitriy,Smirnov,FIN,Mikko,Eklund,,,
417,Suomen maajoukkue,146,21:26:43,0,disqualified,veteran,men,FIN,Jussi,Pohjola,FIN,Jyrki,Piirainen,,,
418,Centum,100,9:36:36,0,disqualified,open,mixed,LAT,Jakovels,Aigars,LAT,Jakovela,Anne,,,
419,Tõttas,196,16:05:40,0,not finished,open,men,EST,Olavi,Ottas,EST,Siim,Tõld,,,
420,Antipodean,183,15:04:50,0,not finished,open,men,NZL,Tim,Farrant,FIN,Marko,Vapaa,,,
421,Galma Āpši,162,16:42:40,0,not finished,open,men,LAT,Jānis,Bidiņš,LAT,Alvis,Mazkalns,,,
422,Tõttajad,116,11:43:01,0,not finished,open,women,EST,Imbi,Soome,EST,Triin,Maller,,,
423,HUNT,109,16:39:30,0,not finished,veteran,women,EST,Elina,Lasseron,EST,Lea,Tusis,,,
424,Pozitīvie Skorpioni,103,11:43:05,0,not finished,veteran,women,LAT,Inta,Poriķe,LAT,Liene,Buša,,,
425,Sēņotājas,65,9:13:10,0,not finished,open,women,LAT,Ligija,Cīrule,LAT,Evija,Freimane,LAT,Kristīne,Antiņa
